Date,SOYBEANS,CORN,SOYBEAN OIL,SOYBEAN MEAL,WHEAT,SUGAR,COFFEE,HRW WHEAT,COTTON
25/5/00,527.25,230.5,16.76,174.6,279.5,7.76,99.25,307.5,63.28
26/5/00,534.25,233.5,16.66,178.4,280.75,7.81,99.2,307.0,63.22
29/5/00,534.25,233.5,16.66,178.4,280.75,7.81,99.2,307.0,63.22
30/5/00,517.0,224.25,15.86,175.3,274.25,7.7,100.4,302.25,61.01
31/5/00,517.5,225.0,15.87,176.7,274.75,7.55,93.0,304.25,62.64
1/6/00,522.5,225.5,16.21,177.4,270.5,7.79,94.45,298.0,60.25
2/6/00,533.75,229.0,16.76,179.7,271.25,8.14,95.55,299.25,58.99
5/6/00,529.25,224.25,16.52,180.3,266.0,8.0,93.35,295.0,58.67
6/6/00,530.5,225.75,16.44,180.8,267.0,8.15,89.15,297.75,57.6
7/6/00,522.5,219.75,16.3,178.3,264.25,8.16,92.05,296.25,58.25
8/6/00,521.5,219.0,16.5,177.6,266.5,8.18,92.55,298.75,58.19
9/6/00,520.75,219.25,16.36,179.7,269.75,8.57,91.85,299.75,58.39
12/6/00,510.5,208.25,16.3,175.3,265.75,8.49,91.15,297.0,56.65
13/6/00,510.5,207.75,16.11,176.8,264.75,8.72,90.8,298.5,56.98
14/6/00,510.75,203.25,16.11,174.4,261.25,8.82,89.85,296.0,57.0
15/6/00,510.0,205.75,16.21,173.8,262.75,8.52,88.15,296.0,57.91
16/6/00,504.75,207.25,16.45,170.9,263.0,8.19,87.25,296.25,57.0
19/6/00,505.0,205.5,16.59,170.8,268.75,8.55,87.2,301.0,56.11
20/6/00,501.0,202.25,16.61,169.1,273.75,8.62,87.25,307.25,56.64
21/6/00,506.5,203.5,16.64,171.0,277.0,8.65,84.45,310.5,55.57
22/6/00,501.75,202.75,16.41,170.0,277.5,8.51,86.15,311.5,55.01
23/6/00,498.0,199.5,16.13,170.2,272.25,8.49,87.05,307.25,54.16
26/6/00,499.5,194.25,15.96,169.9,274.0,8.57,87.15,311.25,53.09
27/6/00,497.25,196.75,15.98,170.4,273.75,8.66,88.5,311.5,52.31
28/6/00,488.5,192.75,15.96,168.6,271.5,8.65,87.65,309.5,52.3
29/6/00,490.75,194.75,15.99,169.9,271.75,9.2,86.4,310.75,52.3
30/6/00,477.5,187.5,15.86,166.9,259.5,8.5,84.85,302.0,50.88
3/7/00,468.5,183.25,15.42,163.9,245.5,8.5,84.85,287.25,50.88
4/7/00,468.5,183.25,15.42,163.9,245.5,8.5,84.85,287.25,50.88
5/7/00,472.5,185.25,15.53,166.6,248.0,8.69,85.4,289.75,50.65
6/7/00,470.75,181.75,15.37,165.9,244.5,8.86,82.85,287.0,50.05
7/7/00,473.5,183.75,16.0,168.1,245.5,8.68,80.8,287.0,51.73
10/7/00,473.25,180.5,15.8,167.8,247.25,8.66,84.0,288.5,55.63
11/7/00,471.25,178.25,15.65,168.3,247.0,8.83,90.1,287.0,55.67
12/7/00,474.5,179.0,15.63,169.6,243.0,9.17,89.7,283.0,56.01
13/7/00,466.75,179.75,15.52,171.1,245.0,9.22,99.2,287.5,57.02
14/7/00,465.25,175.25,15.42,165.2,242.5,9.2,89.15,283.0,57.02
17/7/00,457.5,179.25,15.41,156.6,244.25,9.66,98.65,277.0,60.02
18/7/00,455.5,180.75,15.34,156.4,241.25,10.04,116.5,274.0,60.56
19/7/00,452.5,181.75,15.34,153.5,244.5,9.96,111.15,274.5,60.08
20/7/00,456.0,186.0,15.49,153.4,246.75,10.31,97.75,276.5,58.8
21/7/00,460.25,187.75,15.62,154.3,247.25,10.41,96.65,285.0,59.13
24/7/00,457.0,184.5,15.49,153.1,245.5,10.24,86.3,281.75,60.87
25/7/00,452.75,182.75,15.35,152.3,245.5,10.43,85.2,281.25,59.7
26/7/00,450.75,180.5,15.29,152.2,244.25,10.6,86.95,280.25,59.15
27/7/00,452.5,181.0,15.37,153.2,245.75,10.78,86.1,282.0,58.23
28/7/00,448.0,180.25,15.31,150.9,248.0,10.89,87.4,283.75,58.81
31/7/00,446.0,180.25,15.37,149.6,246.25,10.4,86.45,282.5,59.77
1/8/00,442.0,179.75,15.39,148.8,245.0,10.35,86.3,281.0,59.01
2/8/00,445.5,180.5,15.51,149.8,246.25,10.79,86.45,281.25,58.64
3/8/00,439.75,180.0,15.26,148.8,242.25,11.06,85.85,277.25,58.89
4/8/00,437.0,178.75,15.2,147.8,237.0,10.8,85.6,275.5,58.6
7/8/00,434.0,177.75,15.1,146.3,233.5,10.5,85.4,272.0,60.68
8/8/00,442.25,179.5,15.21,147.6,236.5,10.7,83.7,274.25,60.76
9/8/00,440.5,178.25,15.13,147.4,235.5,10.59,79.5,273.0,62.13
10/8/00,445.75,177.25,15.14,150.3,235.75,10.41,79.6,273.25,60.86
11/8/00,452.0,174.75,15.15,150.6,236.75,10.65,80.65,274.0,61.73
14/8/00,452.25,175.75,15.13,153.4,238.5,10.77,78.8,276.25,62.25
15/8/00,457.5,175.75,15.43,154.3,240.5,10.66,78.6,278.75,61.7
16/8/00,465.0,178.5,15.55,156.4,243.5,10.7,78.3,281.25,61.64
17/8/00,460.0,178.5,15.33,155.4,239.5,10.51,78.55,278.25,62.7
18/8/00,458.25,177.25,15.27,154.3,238.75,10.7,78.4,279.75,63.27
21/8/00,462.0,176.25,15.21,156.5,236.25,10.7,77.5,276.75,64.34
22/8/00,458.5,175.5,15.16,155.6,234.75,10.62,77.1,276.25,64.0
23/8/00,459.5,175.25,15.11,157.4,233.75,10.48,74.6,275.5,63.88
24/8/00,461.75,176.0,15.14,159.8,240.0,10.36,77.8,281.75,63.52
25/8/00,461.75,176.5,15.07,161.0,241.5,10.82,77.75,286.5,64.73
28/8/00,470.25,179.5,15.14,163.5,242.5,10.8,75.2,288.5,64.84
29/8/00,484.25,184.25,15.14,166.9,250.25,10.73,74.7,293.0,65.2
30/8/00,481.75,181.5,15.54,166.6,246.25,10.76,73.9,288.75,64.75
31/8/00,494.75,183.75,15.75,170.8,250.75,10.56,74.5,292.75,63.37
1/9/00,492.75,182.5,15.8,169.8,250.25,10.82,75.0,293.25,63.49
4/9/00,492.75,182.5,15.8,169.8,250.25,10.82,75.0,293.25,63.49
5/9/00,502.0,186.25,15.94,171.9,253.0,10.43,73.1,295.0,64.54
6/9/00,485.25,181.75,15.45,167.0,247.5,10.4,75.25,289.5,64.36
7/9/00,480.0,181.75,15.28,164.8,249.5,10.73,78.0,289.5,64.14
8/9/00,495.0,184.25,15.76,168.2,250.5,10.67,77.4,291.0,64.72
11/9/00,495.75,184.75,15.8,170.9,249.25,10.4,77.75,294.0,64.6
12/9/00,495.5,182.5,15.75,171.8,245.0,10.47,78.65,293.5,63.18
13/9/00,488.75,180.5,15.65,172.9,242.0,10.53,79.55,291.0,62.47
14/9/00,483.5,179.25,15.39,173.0,242.0,10.36,77.2,288.0,62.95
15/9/00,483.25,187.75,15.36,165.9,252.25,9.78,76.25,287.0,63.16
18/9/00,488.5,189.5,15.09,169.4,256.25,9.65,77.4,290.0,62.99
19/9/00,483.75,187.25,15.19,167.8,249.25,9.8,77.2,286.0,62.65
20/9/00,487.5,188.0,15.27,169.6,249.75,9.44,79.15,285.0,63.14
21/9/00,491.75,190.25,15.27,170.8,247.5,9.16,77.8,293.75,63.9
22/9/00,496.0,194.0,15.3,174.0,250.75,9.56,78.0,295.5,63.45
25/9/00,493.5,193.25,15.18,173.4,253.5,9.74,79.05,299.5,63.88
26/9/00,493.75,194.5,15.24,172.8,254.5,9.72,81.75,302.0,63.55
27/9/00,495.75,194.5,15.42,172.7,258.5,9.85,78.95,307.75,62.5
28/9/00,498.25,196.25,15.52,173.6,259.25,9.83,79.85,310.75,62.46
29/9/00,490.5,197.75,15.49,171.3,265.0,9.77,83.0,320.0,62.25
2/10/00,489.5,199.25,15.43,172.3,267.0,9.64,79.35,321.0,63.53
3/10/00,489.0,203.5,15.3,172.7,268.75,9.71,79.4,320.5,63.95
4/10/00,486.25,204.25,15.23,171.9,267.25,10.0,79.35,318.0,63.4
5/10/00,485.0,203.5,15.2,171.1,267.25,10.03,78.7,315.5,63.6
6/10/00,485.0,203.25,15.14,170.0,268.0,10.08,79.45,318.5,64.21
9/10/00,483.0,201.5,15.12,168.8,267.25,10.46,79.95,318.5,64.83
10/10/00,485.75,203.5,15.18,170.1,275.25,10.77,80.75,325.5,64.57
11/10/00,478.0,204.5,15.07,168.0,276.75,10.97,83.15,326.5,63.85
12/10/00,474.25,208.0,14.95,167.4,273.5,10.86,81.3,326.75,64.36
13/10/00,466.0,208.0,14.98,164.7,267.25,11.0,81.05,320.0,63.12
16/10/00,465.0,206.75,15.05,163.1,270.75,11.39,85.65,324.0,62.7
17/10/00,468.25,207.5,14.89,166.6,268.5,11.14,88.7,319.5,62.75
18/10/00,467.75,206.25,14.82,167.4,263.75,11.08,88.25,312.75,62.02
19/10/00,471.5,206.75,14.72,171.6,260.25,10.86,86.7,308.75,62.12
20/10/00,468.75,205.25,14.74,170.0,261.25,10.87,84.15,309.0,62.92
23/10/00,463.0,203.25,14.79,167.3,256.75,10.78,78.45,306.0,62.41
24/10/00,467.75,204.0,14.82,169.9,256.25,10.58,79.25,305.5,62.7
25/10/00,467.0,203.25,14.78,170.0,255.5,10.27,78.05,303.75,63.26
26/10/00,461.25,202.25,14.7,167.2,256.25,9.36,75.4,305.0,62.88
27/10/00,456.5,200.75,14.65,165.6,259.0,9.53,75.6,309.75,63.14
30/10/00,456.0,200.5,14.57,166.9,255.5,9.81,73.5,305.75,63.99
31/10/00,459.75,206.0,14.62,169.6,254.75,9.9,74.4,305.5,62.97
1/11/00,462.75,206.0,14.81,169.3,254.75,9.75,73.9,305.5,62.57
2/11/00,473.25,212.0,15.15,171.3,259.75,9.54,74.25,312.5,62.91
3/11/00,473.25,213.25,15.11,172.2,264.0,9.57,73.6,318.75,63.75
6/11/00,474.25,213.5,15.14,174.6,262.75,9.56,74.7,317.25,65.36
7/11/00,475.0,214.75,15.2,173.3,262.25,9.53,74.6,315.5,65.89
8/11/00,474.0,216.0,15.26,171.6,265.25,9.26,75.3,316.5,65.65
9/11/00,467.25,213.75,15.12,168.0,258.25,8.81,74.0,309.5,64.96
10/11/00,463.25,212.0,14.98,165.3,256.75,9.15,74.15,307.75,65.4
13/11/00,468.75,211.25,15.04,167.7,257.75,8.96,71.45,309.0,65.32
14/11/00,472.0,208.75,15.13,169.8,255.75,8.73,71.4,308.5,64.82
15/11/00,481.5,207.5,15.31,170.9,254.5,9.1,70.3,307.5,64.74
16/11/00,477.5,208.75,15.13,169.8,254.5,9.56,68.85,307.0,64.98
17/11/00,487.75,211.25,15.18,175.8,256.0,9.63,68.55,309.5,64.7
20/11/00,490.75,211.0,15.08,179.9,256.0,9.76,70.35,309.5,64.58
21/11/00,489.0,210.75,15.13,177.0,254.75,9.72,68.55,310.0,63.16
22/11/00,491.0,210.25,15.06,179.4,257.5,9.93,68.3,313.0,64.4
23/11/00,491.0,210.25,15.06,179.4,257.5,9.93,68.3,313.0,64.4
24/11/00,500.75,211.25,14.9,186.9,260.5,9.93,68.3,318.25,64.4
27/11/00,497.25,210.5,14.48,187.6,257.25,10.11,68.0,315.0,65.15
28/11/00,500.75,207.75,14.49,187.6,255.5,9.94,69.5,310.75,64.3
29/11/00,499.75,205.0,14.38,190.2,251.5,9.91,70.1,306.25,65.03
30/11/00,506.0,208.75,14.76,193.8,256.0,9.75,67.2,309.0,65.23
1/12/00,508.0,210.0,14.97,193.8,260.25,9.66,67.0,312.0,64.35
4/12/00,504.5,209.75,14.98,190.9,262.0,9.86,67.3,313.0,64.65
5/12/00,500.75,209.25,14.78,190.1,259.25,9.71,66.5,310.5,64.35
6/12/00,507.0,208.5,14.91,188.7,260.0,9.61,66.15,310.0,64.34
7/12/00,503.0,205.0,14.79,187.6,254.75,9.63,66.35,308.0,67.25
8/12/00,511.5,209.25,14.95,189.1,257.5,9.75,63.65,307.0,67.13
11/12/00,511.0,207.0,14.81,191.4,255.0,9.7,64.1,304.75,67.42
12/12/00,507.25,206.75,14.72,193.4,254.5,9.65,64.2,302.5,65.59
13/12/00,506.5,207.5,14.75,194.4,255.0,9.41,63.75,304.25,65.03
14/12/00,504.25,210.5,14.74,190.5,253.0,9.2,61.55,299.0,65.69
15/12/00,507.25,218.25,15.17,190.0,265.25,9.31,62.9,298.5,65.37
18/12/00,509.75,223.25,15.13,191.9,268.75,9.32,62.7,301.0,65.1
19/12/00,511.75,225.75,15.21,192.3,272.5,9.42,65.05,309.0,65.0
20/12/00,508.0,225.0,15.01,192.4,271.0,9.99,65.45,321.25,65.63
21/12/00,510.0,226.25,15.14,193.8,272.75,9.87,66.55,324.5,65.33
22/12/00,510.25,226.75,15.01,196.0,275.75,9.81,65.4,327.5,64.31
26/12/00,505.25,226.75,14.79,194.6,274.5,9.98,67.3,326.0,63.19
27/12/00,498.5,228.75,14.61,192.8,272.75,10.24,66.4,324.0,63.26
28/12/00,497.5,230.25,14.53,194.0,271.75,10.03,67.35,323.0,63.42
29/12/00,499.5,231.75,14.53,195.4,279.5,10.2,65.55,330.0,62.28
2/1/01,495.0,227.25,14.53,192.0,276.25,10.17,63.4,325.5,60.35
3/1/01,497.25,230.0,14.63,191.7,283.25,10.23,63.45,330.25,60.96
4/1/01,492.25,230.0,14.51,189.8,284.25,10.35,63.35,331.5,59.61
5/1/01,489.5,226.0,14.58,187.7,283.0,10.27,64.35,331.5,59.42
8/1/01,491.0,225.75,14.7,187.4,283.0,10.47,63.85,330.25,60.23
9/1/01,495.25,227.5,14.7,190.5,285.0,10.46,63.8,333.0,59.87
10/1/01,490.5,229.5,14.71,190.1,289.0,10.29,63.35,336.25,60.34
11/1/01,479.75,222.5,14.54,184.3,289.75,10.26,63.6,337.5,60.87
12/1/01,479.25,219.25,14.48,182.0,289.0,10.0,65.0,337.5,61.12
15/1/01,479.25,219.25,14.48,182.0,289.0,10.0,65.0,337.5,61.12
16/1/01,477.5,216.25,14.59,178.7,285.25,10.23,67.4,333.75,60.96
17/1/01,472.75,217.5,14.62,175.6,282.5,10.06,70.2,330.5,60.52
18/1/01,473.5,218.0,14.52,176.3,284.5,9.87,66.75,332.0,60.5
19/1/01,470.75,215.0,14.49,176.4,285.5,10.09,68.3,332.5,60.63
22/1/01,476.75,215.25,14.65,177.9,285.25,10.05,71.25,331.75,59.36
23/1/01,468.25,214.0,14.65,174.1,285.75,10.07,69.85,332.5,59.28
24/1/01,469.75,215.5,14.6,172.2,285.5,10.05,70.05,332.25,61.11
25/1/01,466.0,213.5,14.6,169.4,279.0,10.03,67.85,328.0,60.6
26/1/01,460.25,209.5,14.48,168.0,276.25,10.0,67.1,325.0,61.25
29/1/01,459.75,208.25,14.51,167.4,269.25,9.74,65.4,315.0,60.95
30/1/01,461.0,209.25,14.58,167.4,270.5,9.58,64.2,315.0,62.01
31/1/01,459.5,209.0,14.55,165.3,273.0,9.95,63.75,318.25,61.36
1/2/01,462.5,211.0,15.01,163.9,270.25,10.25,64.7,316.5,59.43
2/2/01,468.5,213.0,15.07,167.1,272.0,10.14,63.2,318.5,59.76
5/2/01,462.25,212.0,15.01,162.8,268.5,10.0,62.7,315.5,60.15
6/2/01,464.25,213.5,14.96,164.8,267.0,10.01,62.2,313.0,60.23
7/2/01,463.5,212.25,14.8,165.4,267.0,9.89,61.75,313.25,59.2
8/2/01,452.25,210.0,14.41,163.5,266.75,9.88,62.0,312.0,59.05
9/2/01,456.25,210.25,14.51,163.6,266.25,9.8,62.65,312.0,58.37
12/2/01,453.25,210.25,14.51,162.3,261.75,9.86,62.3,307.75,58.9
13/2/01,450.0,209.75,14.41,161.4,263.0,9.82,62.8,308.75,59.53
14/2/01,452.0,212.75,14.47,160.6,267.5,9.67,62.8,311.75,61.45
15/2/01,450.25,212.0,14.45,161.2,267.5,9.7,61.5,311.75,59.53
16/2/01,454.0,212.0,14.49,162.4,264.25,9.64,59.8,310.0,59.52
19/2/01,454.0,212.0,14.49,162.4,264.25,9.64,59.8,310.0,59.52
20/2/01,454.0,212.25,14.64,163.2,266.25,9.39,62.75,311.0,57.63
21/2/01,457.5,210.5,15.0,163.6,262.25,9.53,63.15,308.5,55.76
22/2/01,455.0,209.75,14.82,162.7,258.5,9.41,62.85,308.0,54.86
23/2/01,448.0,209.25,14.71,160.7,259.25,9.39,64.95,307.0,55.08
26/2/01,449.25,209.25,14.67,158.0,259.0,9.35,63.9,305.5,53.08
27/2/01,451.25,210.5,14.93,157.4,257.5,8.92,64.4,305.25,52.1
28/2/01,453.5,214.5,15.48,155.7,265.0,9.28,63.9,311.25,52.6
1/3/01,457.0,216.5,15.83,156.4,266.75,9.14,62.75,314.0,53.05
2/3/01,455.75,215.75,15.65,157.2,270.5,9.11,63.3,316.0,53.5
5/3/01,456.5,215.5,15.67,157.7,273.75,9.3,63.7,320.0,53.85
6/3/01,461.75,216.0,15.72,157.7,272.25,9.32,65.0,318.25,54.05
7/3/01,457.5,213.25,15.85,158.5,270.0,9.1,65.8,315.5,54.05
8/3/01,455.5,213.5,16.05,157.1,270.5,9.01,64.15,316.5,54.01
9/3/01,456.75,213.25,16.05,158.3,270.25,9.0,61.7,317.0,52.66
12/3/01,459.0,214.5,16.05,158.7,277.0,8.83,62.05,323.5,51.77
13/3/01,452.25,214.25,16.15,156.5,276.0,8.76,60.95,323.0,52.28
14/3/01,442.0,211.5,15.93,152.5,276.75,8.73,61.0,321.0,52.65
15/3/01,445.5,210.75,16.08,151.9,273.75,8.92,59.1,314.0,50.09
16/3/01,443.0,207.5,16.11,150.3,270.5,8.77,59.0,310.5,49.73
19/3/01,443.5,209.0,16.23,150.1,268.75,8.66,59.9,306.0,50.36
20/3/01,446.75,211.5,16.15,152.3,270.75,8.62,60.05,306.5,49.74
21/3/01,443.25,210.25,16.14,150.9,266.5,8.72,61.15,304.0,48.57
22/3/01,434.25,205.25,15.91,149.2,259.75,8.46,60.2,303.75,47.14
23/3/01,436.5,207.0,15.65,150.1,262.25,8.37,60.1,306.75,48.06
26/3/01,442.0,209.75,15.79,153.4,267.0,8.46,61.85,311.0,49.03
27/3/01,445.25,211.0,16.16,154.0,267.0,8.5,61.05,311.75,47.59
28/3/01,441.75,209.25,16.09,152.7,264.25,8.52,61.15,309.0,47.56
29/3/01,436.5,207.25,16.02,151.1,265.0,8.38,61.75,309.25,45.69
30/3/01,428.5,203.25,15.95,146.7,255.0,7.75,60.3,301.5,45.09
2/4/01,432.75,208.25,15.86,150.6,259.0,8.15,59.5,304.75,44.73
3/4/01,430.25,209.25,15.69,149.7,261.75,8.2,58.7,309.0,45.39
4/4/01,437.25,211.75,15.64,153.3,265.25,8.15,59.25,310.5,46.19
5/4/01,437.5,212.25,15.59,153.9,265.0,8.08,59.1,309.25,45.97
6/4/01,436.0,210.25,15.56,153.5,262.0,8.16,58.1,309.0,46.88
9/4/01,441.25,210.75,15.51,155.2,260.0,8.21,57.6,306.25,46.59
